source,target
4330,32688
4330,328370
4330,35797
4330,390889
4330,395553
4330,428610
4330,46468
4330,684986
4330,69392
4330,69418
4330,753265
4330,949217
4335,1104300
4335,1136310
4335,1136397
4335,1140547
4335,1717
4335,239800
4335,32698
4335,35922
4335,390889
4335,46468
4335,62417
4335,755082
4335,95718
5194,1152714
5194,133550
5194,133563
5194,133566
5194,140569
5348,1108050
5348,1114192
5348,1118083
5348,1120197
5348,1120858
5348,1123239
5348,1132968
5348,139547
5348,256106
5348,2695
5348,2696
5348,342802
5348,75695
5348,911198
5348,99025
5454,1105574
5454,1128425
5454,1130680
5462,1129111
5462,119956
5462,227286
5462,910
5869,1110520
5869,910
6130,1132461
6130,1154123
6130,1154124
6130,671269
6130,675847
6775,1111240
6775,350319
6784,100961
6784,1116629
6784,350319
6784,35797
6784,560936
6784,562123
6784,60170
6784,6775
6898,1123188
6898,124224
6898,12631
6898,431206
6898,6910
6898,78994
6910,1117219
6910,1123188
6910,1132083
6910,1152150
6910,1154103
6910,169279
6910,263553
6910,431206
6910,662416
6913,1105011
6913,1116336
6913,1131230
6913,1135108
6913,1152917
6913,1717
6913,428610
6913,431206
6913,4330
6913,703953
7272,7276
7272,7297
7272,763181
7276,763181
7296,763181
7297,7276
7297,763181
7532,1121603
7532,1153097
7532,141171
7532,314459
7532,7537
7532,80515
7537,1113534
7537,1131348
7537,1153097
7537,141171
7537,314459
7537,409255
7537,7532
8581,1120059
8581,1132968
8581,2665
8581,75691
8581,75695
8961,1103610
8961,1133390
9581,1130780
9581,633585
11093,39199
12330,107569
12330,1120777
12330,1152490
12330,1153861
12330,156977
12330,213279
12330,395553
12330,400356
12330,949217
12337,16451
12337,16470
12337,16474
12347,16451
12347,72101
12359,1131634
12359,16451
12359,242637
12631,1123188
12631,1152150
12631,1154103
12631,12638
12631,662416
12631,6898
12631,6910
12631,78994
12638,1123188
12638,119761
12638,263553
12638,4330
12638,662416
12638,6898
12638,6910
13136,1118083
13136,160705
13885,1104379
13885,31043
13885,42847
14083,1103016
14090,1103016
14090,643069
14807,1111240
14807,264347
15076,25702
15076,708945
16451,118436
16461,1105603
16470,1129621
16471,1104787
16471,1114992
16471,1126044
16471,16474
16471,273949
16474,16471
16476,1123087
16476,1129621
16476,12359
16476,16474
16485,105856
16485,1104787
16485,1105603
16485,1109891
16485,1120049
16485,1123087
16485,12347
16819,1131167
16819,1131236
16819,1131274
16819,1131312
16819,126793
16819,643003
16819,643069
16819,643221
16819,644093
16819,644334
16819,646195
16819,646286
16843,1152259
16843,1152991
16843,643069
17363,444191
18532,86923
18536,1106854
18536,424540
18536,86923
19621,1106287
19621,1114153
19621,1126044
19621,1128846
19621,1131464
19621,1135137
19621,123825
19621,184918
19621,23448
19621,330148
19621,42847
19621,49482
19621,62347
19621,631052
19621,649730
19621,649739
19621,66990
19621,684372
19621,7276
19621,7297
19621,83826
19621,853116
19621,948147
19621,948299
19621,950052
19697,239800
19697,32698
19697,40124
19697,95718
20923,1115701
20923,1116530
20923,20924
20923,289885
20923,294030
20924,1113934
20924,1115701
20924,289885
20924,294030
22835,1110563
22835,39904
22875,1110947
22875,1113934
23116,1105433
23116,1111978
23116,40124
23116,576257
23502,184918
23502,23507
23507,1109392
23507,152731
23507,217852
23507,23502
23507,649731
24043,1111265
24043,15076
24043,928873
24966,1104449
24966,1105344
24966,1105433
24966,1106671
24966,1123576
24966,1131149
24966,1152194
24966,1154042
24966,124828
24966,131042
24966,145134
24966,145176
24966,19697
24966,197452
24966,202639
24966,23116
24966,239800
24966,40124
24966,63549
24966,641976
24966,65212
24966,671293
24966,92065
24966,95719
24974,1104258
24974,1112723
24974,131042
24974,34315
24974,40125
25181,1152277
25181,1152673
25181,1154251
25181,25184
25181,27174
25181,96335
25184,285675
25184,385572
25702,1108834
25702,1118848
25702,1136397
25702,147870
25702,202639
25702,675649
25702,910
26850,1114605
27174,180373
27174,25184
27174,35343
27174,96335
30817,1120211
30817,3229
30817,631052
30817,75691
30895,1152277
30895,1152673
30895,1154251
31489,1130780
31489,1152150
31489,227286
31489,40583
31489,40605
31489,632796
31489,632874
31489,632935
31489,633585
31489,633721
31489,9581
31769,67245
31769,67246
32083,1113995
32083,1153933
32083,200630
32083,31769
32083,346292
32083,688361
32276,15076
32276,174418
32276,39199
32276,636500
32276,636511
32276,84695
32688,1717
32688,69418
32698,95719
34315,1103979
34315,40125
34355,1103979
35335,168958
35335,35343
35335,59772
35797,100961
35797,1110998
35797,1116629
35797,188318
35797,399370
35797,60169
35797,60170
35797,627024
35922,1105116
35922,1140547
35922,194223
35922,390894
35922,390922
35922,396412
35922,50336
35922,50337
35922,66982
37879,1105116
38537,1131270
38537,1131277
38537,642847
38537,646195
39199,39210
39199,66982
39199,66990
39210,66982
39210,66986
40124,1104258
40124,1112723
40125,1104258
40131,118079
40135,118079
40605,40583
40605,633721
40605,884094
41216,1104300
42847,1104379
42848,1104379
42848,1116835
43186,1135894
43186,152731
43186,16461
43639,469504
43639,99025
47682,47683
47682,47684
48550,133563
48550,227286
48555,133563
48555,48550
49482,1112369
49482,217984
49482,631052
49482,7297
50336,13269
50336,35922
50336,390894
50336,50337
50337,13269
50337,390894
50337,396412
50354,123556
50354,14807
50354,289088
52515,39199
52515,446271
58552,1113828
58552,248395
59772,35335
59798,1152277
59798,1152673
59798,1154251
59798,180373
59798,25181
59798,27174
59798,30895
59798,96335
60159,399370
60159,60169
60169,399370
60170,399370
62347,62333
62417,1107558
62417,41216
62676,14083
62676,312409
63549,1105344
65212,1105433
65212,1154042
65212,23116
66982,39210
66986,39210
66990,1117501
66990,1152490
66990,1153861
66990,390889
66990,39210
67245,31769
67245,67246
67246,31769
67292,1105530
68115,47684
68224,1105574
68224,1128425
68224,1130680
68224,582139
69392,1132461
71736,1152259
71736,1152991
71904,239800
71904,95718
72056,1135122
72101,1118347
74821,1120252
74821,1131149
74821,1131150
75318,103430
75318,1121569
75318,141171
75695,1113035
75695,1120059
75695,139547
75695,911198
75983,1106568
75983,1115790
77758,1129907
77758,1131745
77758,180373
77758,289885
77758,294030
77758,424
77758,613409
77758,910
78994,662279
78994,662572
80491,314459
80491,7532
80491,80515
80515,1121603
80515,314459
83826,1106287
83847,1106287
83847,1117501
83847,1130678
83847,66986
86923,1114184
86923,18532
90888,1113934
90888,13885
90888,340075
91038,52515
92065,1106671
93555,1152958
93555,119761
93555,143801
93555,284023
93555,284025
94229,1111733
94229,1123087
95718,32698
95719,32698
99023,578306
99023,578309
99023,578347
99030,578337
100197,193931
100197,447250
100197,688361
100961,60169
103430,1154074
103430,75318
103543,126912
103543,126927
105856,193931
105856,273949
105856,289085
107569,1107385
107569,1120777
118424,118436
118435,118436
118559,1108209
118559,1121739
119712,1114118
119761,143801
119761,284025
120084,1140543
120817,1109873
120817,1140543
123556,141160
123556,14807
123556,50354
123825,1131464
123825,1131634
123825,1154276
123825,23448
123825,42847
123825,447250
123825,649730
123825,649739
124224,169279
124224,6898
124828,1108169
126793,1131270
126793,16843
126909,103543
126912,103543
126912,66990
126920,103543
126920,126927
126920,645897
126926,103543
126926,126909
126927,103543
126927,126920
126927,644093
126927,645897
126927,646286
129287,907845
131042,40125
133550,1109891
133550,133566
133550,140569
133553,105856
133553,1120049
133563,105856
133563,1120049
133563,133566
133566,1152714
133567,1152714
133567,133566
135464,1133004
135464,1135589
135464,120084
135464,237489
135464,8581
139738,1108834
139865,1108841
139865,1110563
141160,1109891
141160,1131345
141160,133553
141160,917493
141171,1121569
141596,40125
143801,284025
145134,129287
145134,641976
145176,1112723
145176,1132418
145176,40124
147870,1109185
147870,1132434
147870,636500
151708,1120786
152731,1109392
152731,23507
156977,1152490
156977,1153861
156977,390889
156977,395547
157401,1118017
162075,1109830
162075,162080
162075,737204
162080,1109830
162080,1135345
162080,162075
162080,739707
163235,1109873
169279,1132083
169279,1154103
169280,1132083
169280,1154103
174418,307336
174418,636511
174425,174418
174425,636511
175548,105856
175548,1120049
175548,689152
175548,753070
179180,1110563
179180,1126037
179180,139865
179702,1121569
179702,1152859
179702,141171
179702,424540
179706,141171
180373,180399
180399,1120084
180399,385572
184918,171225
184918,330148
188318,1110998
191222,191216
191222,708945
193918,1111240
193931,1111240
193931,193932
193932,1111240
194223,1126044
194223,390922
197452,1135894
197452,424
200630,643734
202520,1115701
202520,446271
202522,446271
202639,1117348
202639,1123087
202639,1154123
202639,1154124
202639,242637
202639,40131
202639,643597
202639,672064
203646,1116569
205192,1132968
205192,578337
205192,99030
217984,1112369
226698,1112767
226698,1122304
227286,1115790
230879,1130808
230879,1132486
230879,1132948
230879,1133428
230879,1140230
230879,205192
230879,230884
230879,236759
230879,2658
230879,578309
230879,578337
230879,696342
230879,696343
230879,696345
230879,696346
230879,751408
230879,851968
230879,99030
230884,1131607
230884,1132486
230884,1135899
230884,751408
233106,12275
233106,630890
237489,1120059
237489,2665
237521,2665
239800,95718
240321,1132434
240321,1132459
240321,1136397
240321,1154123
240321,1154124
240321,428610
240321,447250
240321,675649
240321,675847
240321,69392
242637,1113541
245288,1122460
248395,1113828
248395,58552
253762,23116
255628,1135589
255628,1140543
255628,120084
256106,1114192
258259,168958
260121,1114352
260979,1114388
263553,1117219
263553,662416
263553,6910
264347,1153183
264556,120084
264556,289085
264556,335042
270456,203646
270456,63549
273949,1114992
278394,627024
278394,851968
278403,627024
282700,1115375
284023,1152958
284023,1152959
284023,119761
284023,346292
284025,119761
284025,949217
285687,285675
289085,689152
289088,689152
289885,1115701
289885,20924
289945,48550
294030,20924
307336,285675
307336,708945
314459,1121603
325314,1122704
330148,184918
330148,23502
330208,469504
330208,99025
335042,1117653
335042,289085
340078,928873
340078,949217
342802,2695
346292,1152958
346292,284023
350319,193932
370366,1140040
370366,641956
370366,928873
385572,1120084
395540,1130676
395553,395547
395553,684972
399370,60159
400356,1120777
400356,66990
409255,1153097
424540,48555
431206,662572
444191,1154068
444191,6910
523010,1126044
523010,1140543
560936,562123
562123,560936
567005,1127810
578306,578347
578309,578347
578337,1132486
578337,236759
578337,696345
578337,696346
578337,99023
578347,578309
578365,578306
578365,578309
582139,1128425
582139,1130680
594483,1129040
604073,1129494
613409,1129907
617378,1130069
617575,1130080
626999,139547
626999,911198
627024,911198
630817,1130676
630890,1130678
631015,396412
631015,631052
632796,884094
632874,40583
633081,1130780
633081,31489
633081,40605
633081,632796
633081,632874
633585,40605
633585,633721
633585,884094
633721,1130915
641956,1131149
641956,1131150
641976,1131150
641976,672070
641976,672071
642621,1131164
642621,1131258
642621,16819
642641,645084
642681,1131167
642681,1131236
642681,644093
642681,644334
642681,644441
642681,646286
642798,1131172
642798,644470
642847,642681
642894,1131180
642894,1131236
642894,1131301
642894,1131312
642894,1131335
642894,642798
642894,643239
642894,643485
642894,645046
642894,645870
642894,646286
642894,646334
642894,646357
643003,1131189
643069,1131192
643221,1131236
643221,1131257
643221,1131305
643221,1131312
643221,1131334
643221,1131335
643221,126927
643221,16819
643221,642894
643221,643239
643221,643485
643221,644093
643221,644448
643221,644577
643221,645897
643221,646286
643239,1131312
643239,1131334
643239,126927
643239,16819
643239,643221
643239,644093
643485,643221
643695,1154068
643695,643597
643734,643777
643735,643734
644093,1131236
644361,645016
644363,645016
644427,1131257
644427,644577
644441,1131258
644441,644334
644448,1131258
644448,1131314
644448,644470
644448,644494
644494,1131314
644494,644470
644577,1131301
644577,1131305
644577,1131334
644577,643485
644577,645897
644843,1131274
644843,645016
645016,1154071
645046,1131301
645046,646334
645046,646357
645084,1131277
645088,1131277
645088,645084
645452,645016
645870,1131301
645870,644494
645897,126927
646286,6913
646289,6913
646334,646357
646357,646334
648232,567005
649730,1131464
649731,1131464
649731,123825
649739,1131464
654326,1131741
654326,654339
654339,1131741
654339,654326
662416,1123188
662572,431206
671269,1132418
671269,1132443
671269,1132461
671269,1154123
671269,1154124
671293,1132443
672064,6130
672070,1132443
672070,1154123
672070,1154124
672070,6130
672070,672071
672071,1132443
672071,1132461
672071,6130
672071,672070
675649,1132505
675756,1132505
675756,675649
675847,1132505
684531,684372
684972,395547
684986,395553
684986,684972
687401,273949
689152,289085
696343,1133428
696345,236759
696345,2658
696345,696342
696345,696346
733167,1154276
733534,1135122
733534,948147
738941,1135455
738941,162080
739707,950305
739816,1135894
739816,1140543
739816,1140548
751408,1135899
753047,1136631
753047,1136634
753047,753070
753047,753264
753047,753265
753047,767763
753070,753047
753070,753264
753070,767763
753264,753047
753264,767763
753265,753047
755082,1136393
767763,1136631
851968,1140231
853114,19621
853114,853116
853114,853155
853115,19621
853115,853114
853115,853116
853115,853155
853116,19621
853116,853155
853118,1140289
853155,853118
424,1135125
910,12439
910,28278
910,35905
910,755217
1365,1116347
1365,1119140
1365,1130600
1365,1136422
1365,1152143
1365,161221
1365,188471
1365,340299
1365,628500
1365,782486
1365,85299
1717,1115291
1717,50381
2665,763009
3229,1050679
3229,1103960
3229,1105718
3229,1125895
3229,1130927
3229,189577
3229,27631
3229,33412
3229,35863
3229,82087
3229,82098
3243,1104055
3243,1113739
3243,30901
3243,31932
3243,350362
3243,368431
4330,1103676
4330,1103737
4330,1109439
4330,1110438
4330,137873
4330,168410
4330,299197
4330,37884
4330,4329
4335,1121254
4335,116790
4335,62274
7272,1136446
7297,763010
12337,1129683
12337,395725
12337,57764
13269,17476
13885,13917
13885,84459
16485,286500
19621,1114442
19621,1135082
19621,240791
19621,6184
19621,628888
19621,763009
19697,131318
20924,1108267
20924,521207
22875,22876
23116,41666
23507,13717
23507,93320
24966,1106370
24966,1131267
24966,131318
24966,27627
24966,79809
24974,6771
25702,1153897
30895,144679
30895,30901
32083,1120962
32083,35061
32083,45605
32083,6771
35343,1118332
35797,1050679
35797,1128974
35922,1152162
35922,1152272
35922,1152904
35922,390896
38537,137868
38537,153063
40135,13686
46468,27249
47682,1125393
50336,683355
52515,300806
77758,25772
202639,144408
213279,197783
560936,91581
576257,1153943
576257,594649
